Product_Code,UPC,Quantity,Price,Line_Amount,Invoice_Amount,Subtotal,Total_Tax,Seller_Name,Seller_Address,Buyer_Name,Buyer_Address,Invoice_Number,Invoice_Date,Seller_Phone,Seller_Email,Po_Number,Seller_Website,Seller_Fax_Number,Shipto_Name,Shipto_Address,Description
206309,,,0.00,"2,412.00",,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MEX FANTA PINEAPPLE 355ML (4824CS/48PAL355ML
206320,,,40.20,"2,412.00",,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MEX SPRITE REG SMALL 355ML 424CS/48PAL355ML
22367,,,0.00,"2,412.00",,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,MEX COKE REG SMALL 355ML (4824CS/48PAL12OZ/355ML
22368,,,40.20,"2,412.00",,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,SMART WATER 700ML 24CT 700ML
22369,,,40.20,1.206.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,BODY ARMOR 28 OZ 1CASE 280Z
,,,0.00,"1,206.00",,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,mber Item UOM Unit Allowance
,,,40.20,"2,412.00",,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,nce 857908000225 22252 CHEYENNE RED 100 30 CAR
,,,0.00,"2,412.00",,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,ended 857908000225 22252 CHEYENNE RED 100 30 CAR
,,,40.20,230.16,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,, 80070 708926561116 206301 Wildhorse Red King Box 60 CAR
,,,0.00,230.16,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Wildhorse Red King Box 60 CAR
,,,40.20,230.16,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Wildhorse Red 100 Box 60 CAR
,,,0.00,0.00,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Wildhorse Red 100 Box 60 CAR
,,,40.20,,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Wildhorse Gold King Box 60 CAR
,,,0.00,,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Wildhorse Gold King Box 60 CAR
,,,40.20,,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Wildhorse Gold 100 Box 60 CAR
,,,0.00,,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Wildhorse Gold 100 Box 60 CAR
,,,9.59,,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Wildhorse Silver King Box 30 CAR
,,,9.59,,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Wildhorse Silver King Box 30 CAR
,,,9.59,,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Wildhorse Silver 100 Box 30 CAR
,,,0.00,,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Wildhorse Silver 100 Box 30 CAR
,,,"1,665.00",,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Wildhorse Menthol Green King Box 60 CAR
,,,51.84,,,,,,,,,Number 9027566,7/13/2023,770-489-8786,sales.andyswholesaleinc@gmail.com,,,,,,Wildhorse Menthol Green King Box 60 CAR
,,,,,,,,,,,,,,,,,,,,,Wildhorse Menthol Green 100 Box 60 CAR
,,,,,,,,,,,,,,,,,,,,,Wildhorse Menthol Green 100 Box 60 CAR
,,,,,,,,,,,,,,,,,,,,,Green 100 Box 60 CAR  4020  000  241200 Off Invoice Deal
,,,,,,,,,,,,,,,,,,,,,Wildhorse Pipe Tobacco Red 16oz 24 BAG
,,,,,,,,,,,,,,,,,,,,,Wildhorse Pipe Tobacco Red 16oz 24 BAG
,,,,,,,,,,,,,,,,,,,,,Wildhorse Pipe Tobacco Blue 16oz 24 BAG
,,,,,,,,,,,,,,,,,,,,,Wildhorse Pipe Tobacco Blue 16oz 24 BAG
,,,,,,,,,,,,,,,,,,,,,Wildhorse Pipe Tobacco Green 16oz 24 BAG
,,,,,,,,,,,,,,,,,,,,,Wildhorse Pipe Tobacco Green 16oz 24 BAG
,,,,,,,,,,,,,,,,,,,,,ette License 0032505 State County City OTP License Cigarette
,,,,,,,,,,,,,,,,,,,,,License 0032505 State County City OTP License Cigarette
,,,,,,,,,,,,,,,,,,,,,State County City OTP License Cigarette 166500 000 000 OTP
,,,,,,,,,,,,,,,,,,,,,County City OTP License Cigarette 166500 000 000 OTP
